Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,,,,,,,,
2010. 10. 11 오후 3:30:00,1908.55,1909.01,1885.08,1889.91,340220,,,,,,,,,,,,,,,,,,,,
2010. 10. 12 오후 3:30:00,1892.27,1893.13,1857.93,1868.04,314695,,,,,,,,,,,,,,,,,,,,
2010. 10. 13 오후 3:30:00,1878.58,1881.2,1866.41,1876.15,317797,,,,,,,,,,,,,,,,,,,,
2010. 10. 14 오후 3:30:00,1886.68,1899.76,1884.45,1899.76,374221,,,,,,,,,,,,,,,,,,,,
2010. 10. 15 오후 3:30:00,1898.85,1903.25,1893.76,1902.29,368523,,,,,,,,,,,,,,,,,,,,
2010. 10. 18 오후 3:30:00,1904.57,1904.79,1875.42,1875.42,371460,,,,,,,,,,,,,,,,,,,,
2010. 10. 19 오후 3:30:00,1878.98,1885.23,1857.32,1857.32,426029,,,,,,,,,,,,,,,,,,,,
2010. 10. 20 오후 3:30:00,1844.41,1875.76,1837.08,1870.44,364665,,,,,,,,,,,,,,,,,,,,
2010. 10. 21 오후 3:30:00,1878.51,1879.08,1858.38,1874.69,412018,,,,,,,,,,,,,,,,,,,,
2010. 10. 22 오후 3:30:00,1882.08,1897.31,1880.25,1897.31,346311,,,,,,,,,,,,,,,,,,,,
2010. 10. 25 오후 3:30:00,1902.51,1918.87,1899.08,1915.71,405398,,,,,,,,,,,,,,,,,,,,
2010. 10. 26 오후 3:30:00,1913.25,1919.56,1909.27,1919.41,349936,,,,,,,,,,,,,,,,,,,,
2010. 10. 27 오후 3:30:00,1919.48,1924.61,1902.18,1909.54,391530,,,,,,,,,,,,,,,,,,,,
2010. 10. 28 오후 3:30:00,1909.38,1914.89,1901.8,1907.87,347505,,,,,,,,,,,,,,,,,,,,
2010. 10. 29 오후 3:30:00,1909.38,1914.89,1901.8,1882.95,374510,,,,,,,,,,,,,,,,,,,,
2010. 11. 1 오후 3:30:00,1889.57,1914.74,1880.25,1914.74,339908,,,,,,,,,,,,,,,,,,,,
2010. 11. 2 오후 3:30:00,1912.28,1920.29,1907.18,1918.04,338434,,,,,,,,,,,,,,,,,,,,
2010. 11. 3 오후 3:30:00,1931.13,1943.23,1930.11,1935.97,356825,,,,,,,,,,,,,,,,,,,,
